person_id,age,citizen_status,nativity_status,weekly_hours_worked,total_income,self_employed_income,wage_income,interest_income,other_income,marital_status,school_status,sex,when_last_worked,worked_last_week,language,race_native_american,race_asian,race_black,race_native_hawaiian,race_pacific_islander,race_white,race_other,household_id
127,58,citizen_birth,native_born,40,60231,94,60045,15,77,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,69
136,39,citizen_birth,native_born,55,67220,56,67099,7,58,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,72
137,44,noncitizen,foreign_born,40,38229,34,38051,80,64,married,not_student,MALE,in_last_year,not_reported,Spanish,0,0,0,0,0,1,0,72
150,40,citizen_naturalized,foreign_born,0,248,57,11,100,80,married,not_student,FEMALE,over_five_years_ago,did_not_work,Polish,0,0,0,0,0,1,0,78
151,39,citizen_naturalized,foreign_born,35,88180,15,88081,41,43,married,not_student,MALE,in_last_year,worked,Polish,0,0,0,0,0,1,0,78
157,60,citizen_birth,native_born,10,16516,16318,26,89,83,married,not_student,female,in_last_year,worked,English,0,0,0,0,0,1,0,80
158,60,citizen_birth,native_born,60,140182,89,90053,5e4,40,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,80
160,29,citizen_birth,native_born,50,31231,12,31081,73,65,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,82
161,28,citizen_birth,native_born,50,142,71,0,18,53,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,82
163,77,noncitizen,foreign_born,0,20116,18,6,80,20012,divorced,not_student,MALE,over_five_years_ago,did_not_work,Spanish,0,0,0,0,0,0,1,83
164,39,citizen_birth,native_born,40,35231,78,35054,66,33,never_married,not_student,male,in_last_year,worked,English,0,0,0,0,0,1,0,84
165,41,citizen_birth,native_born,40,21247,44,21096,95,12,divorced,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,84
172,38,citizen_birth,native_born,40,110135,25,110010,97,3,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,86
173,33,citizen_naturalized,foreign_born,90,275269,98,275011,61,99,married,not_student,MALE,in_last_year,worked,Serbian,0,0,0,0,0,1,0,86
192,62,citizen_birth,native_born,20,7395,31,5059,76,2229,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,92
193,57,citizen_birth,native_born,20,25078,25006,8,58,6,married,public_school,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,92
216,63,citizen_birth,native_born,0,26553,48,5,71,26429,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,100
217,61,citizen_birth,native_born,0,154,1,46,71,36,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,100
218,23,citizen_birth,native_born,0,171,96,9,44,22,never_married,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,100
219,27,citizen_birth,native_born,80,25290,27,25088,89,86,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,101
226,60,citizen_birth,native_born,42,77549,25100,52032,360,57,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,103
227,62,citizen_birth,native_born,20,49969,41,43320,6593,15,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,103
232,94,citizen_birth,native_born,0,12206,95,54,239,11818,widowed,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,105
240,75,citizen_birth,native_born,0,29920,20,36,6093,23771,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,110
245,62,citizen_birth,native_born,40,105272,86,45037,60066,83,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,112
254,34,citizen_birth,native_born,0,177,33,41,23,80,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,116
270,52,citizen_birth,native_born,50,5463,0,536,97,4830,never_married,not_student,male,in_last_year,did_not_work,English,0,0,0,0,0,1,0,124
275,30,citizen_birth,native_born,40,27237,57,27050,38,92,never_married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,127
277,49,citizen_birth,native_born,50,98160,30,98075,39,16,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,128
278,51,citizen_birth,native_born,40,55239,19,52096,66,3058,married,not_student,male,in_last_year,worked,English,0,0,0,0,0,1,0,128
279,21,citizen_birth,native_born,40,55245,66,55048,77,54,never_married,not_student,M,in_last_year,not_reported,English,0,0,0,0,0,1,0,128
297,51,citizen_birth,native_born,0,202,27,12,100,63,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,135
302,65,citizen_birth,native_born,0,9727,51,30,8,9638,widowed,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,138
303,60,citizen_birth,native_born,40,41875,53,41696,92,34,separated,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,138
307,35,citizen_birth,native_born,40,35103,4,35033,4,62,married,not_student,FEMALE,in_last_year,worked,Spanish,0,0,0,0,0,1,0,141
308,33,noncitizen,foreign_born,50,17198,50,10017,69,7062,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,141
316,53,citizen_birth,native_born,0,10120,2,84,63,9971,widowed,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,144
323,46,citizen_birth,native_born,35,70695,95,70090,92,418,married,not_student,F,in_last_year,worked,English,1,0,0,0,0,1,0,146
324,49,citizen_birth,native_born,50,158241,62,158081,14,84,married,not_student,MALE,in_last_year,worked,Irish Gaelic,0,0,0,0,0,1,0,146
330,27,citizen_birth,native_born,40,52110,30021,22018,33,38,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,148
331,28,citizen_birth,native_born,60,47950,97,47716,86,51,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,148
332,20,citizen_birth,native_born,20,6410,0,6271,73,66,never_married,public_school,M,in_last_year,worked,English,0,0,0,0,0,1,0,148
339,56,citizen_birth,native_born,60,40098,40003,73,22,0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,152
340,56,citizen_birth,native_born,60,40130,6,40026,98,0,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,152
366,47,citizen_birth,native_born,55,121252,34,121034,85,99,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,164
367,48,citizen_birth,native_born,35,50276,90,50034,56,96,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,164
372,59,citizen_birth,native_born,0,20247,54,28,86,20079,married,not_student,FEMALE,over_five_years_ago,did_not_work,Other Indo-European languages,0,0,0,0,0,1,0,167
373,63,citizen_birth,native_born,24,36103,5,15630,18,20450,married,not_student,MALE,in_last_year,did_not_work,English,0,0,0,0,0,1,0,167
375,18,citizen_birth,native_born,40,6365,85,6211,38,31,never_married,public_school,MALE,in_last_year,did_not_work,English,0,0,0,0,0,1,0,169
386,31,citizen_naturalized,foreign_born,39,59258,71,59056,68,63,married,not_student,FEMALE,in_last_year,worked,Polish,0,0,0,0,0,1,0,177
387,31,citizen_naturalized,foreign_born,55,67094,23,67003,65,3,married,not_student,M,in_last_year,worked,Polish,0,0,0,0,0,1,0,177
388,59,citizen_naturalized,foreign_born,30,18202,20,18073,57,52,married,not_student,MALE,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178
389,59,citizen_naturalized,foreign_born,40,35223,20,35096,76,31,married,not_student,FEMALE,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178
390,30,citizen_birth,native_born,20,23191,3028,20051,65,47,never_married,public_school,MALE,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178
391,25,citizen_birth,native_born,40,30193,35,30018,45,95,never_married,public_school,M,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178
420,94,citizen_birth,native_born,0,15819,55,91,25,15648,widowed,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,191
431,30,citizen_naturalized,foreign_born,39,13599,9,13415,88,87,married,not_student,FEMALE,in_last_year,not_reported,Lithuanian,0,0,0,0,0,1,0,197
432,38,citizen_birth,native_born,40,111371,40,110002,1230,99,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,198
433,37,citizen_birth,native_born,30,24199,68,24026,25,80,never_married,not_student,male,in_last_year,worked,English,0,0,0,0,0,1,0,198
434,28,citizen_birth,native_born,40,32237,42,32052,67,76,never_married,not_student,female,in_last_year,worked,English,0,0,0,0,0,1,0,198
458,31,citizen_birth,native_born,41,52224,11,52061,90,62,separated,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,208
465,36,citizen_birth,native_born,40,98258,55,98100,45,58,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,213
466,35,citizen_birth,native_born,0,280,79,66,50,85,married,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,213
470,84,citizen_birth,native_born,0,17105,7,97,81,16920,divorced,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,215
474,59,citizen_birth,native_born,40,55246,53,55064,44,85,widowed,not_student,MALE,in_last_year,worked,English,0,0,1,0,0,0,0,217
475,27,citizen_birth,native_born,6,1807,69,1140,94,504,never_married,not_student,female,in_last_year,worked,English,0,0,1,0,0,0,0,217
485,25,citizen_birth,native_born,30,16235,15067,81,1086,1,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,221
486,24,citizen_birth,native_born,50,40274,42,40080,74,78,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,221
487,23,citizen_birth,native_born,60,70191,13,70086,41,51,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,221
488,68,citizen_birth,native_born,0,40846,27,63,226,40530,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,222
489,71,citizen_birth,native_born,0,55555,4,91,1e3,54460,married,not_student,M,in_last_five_years,not_reported,English,0,0,0,0,0,1,0,222
492,89,citizen_birth,native_born,0,18387,44,11,94,18238,divorced,not_student,F,in_last_five_years,not_reported,English,0,0,0,0,0,1,0,224
496,57,citizen_birth,native_born,4,948,81,823,25,19,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,227
497,55,citizen_birth,native_born,7,1362,22,1190,56,94,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,227
500,53,citizen_birth,native_born,40,65129,65037,36,26,30,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,229
508,53,citizen_birth,native_born,40,70219,57,70066,0,96,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,233
509,56,citizen_birth,native_born,40,24189,6,24042,75,66,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,233
510,22,citizen_birth,native_born,0,202,19,95,10,78,never_married,not_student,MALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,233
511,77,citizen_birth,native_born,0,5219,23,37,91,5068,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,233
512,76,citizen_birth,native_born,0,1492,34,36,9,1413,married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,233
520,45,citizen_birth,native_born,0,226,33,28,88,77,married,not_student,MALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,237
521,47,citizen_birth,native_born,0,849,54,20,36,739,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,237
522,21,citizen_birth,native_born,0,135,32,2,80,21,separated,not_student,MALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,237
523,64,citizen_birth,native_born,0,12201,54,67,43,12037,widowed,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,237
581,22,citizen_birth,native_born,40,7162,35,7045,74,8,never_married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,267
587,77,citizen_birth,native_born,0,12253,92,35,30,12096,widowed,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,271
601,85,citizen_birth,native_born,0,10315,69,98,66,10082,married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,276
602,78,citizen_birth,native_born,0,44425,50,3,8139,36233,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,276
605,62,citizen_birth,native_born,0,60174,86,4,9,60075,married,not_student,M,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,278
606,64,citizen_birth,native_born,0,39134,38,55,16,39025,married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,278
631,58,citizen_birth,native_born,0,50563,72,26,27,50438,divorced,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,289
632,34,citizen_birth,native_born,40,14264,54,14095,70,45,never_married,not_student,MALE,in_last_year,did_not_work,English,0,0,0,0,0,1,0,289
633,47,citizen_birth,native_born,40,49140,2,49076,43,19,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,290
634,45,citizen_birth,native_born,40,20196,44,20029,90,33,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,290
664,32,citizen_birth,native_born,0,23311,46,92,97,23076,separated,not_student,F,in_last_five_years,did_not_work,Spanish,0,0,0,0,0,1,0,302
667,71,citizen_birth,native_born,0,38061,92,98,16373,21498,married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,303
668,71,citizen_birth,native_born,0,17674,77,82,91,17424,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,303
669,23,citizen_birth,native_born,40,18781,69,18575,38,99,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,303
678,48,citizen_birth,native_born,45,60219,95,60036,2,86,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,307
679,51,citizen_birth,native_born,45,54216,53,54092,70,1,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,307
696,40,citizen_birth,native_born,50,73175,100,73029,7,39,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,312
697,39,citizen_birth,native_born,40,95155,74,95073,0,8,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,312
706,70,citizen_birth,native_born,0,60215,62,35,5100,55018,married,not_student,M,in_last_five_years,did_not_work,English,1,0,0,0,0,1,0,314
707,66,citizen_birth,native_born,0,18575,55,65,370,18085,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,314
718,39,citizen_birth,native_born,43,15129,5,15017,95,12,divorced,not_student,male,in_last_year,worked,English,0,0,0,0,0,1,0,320
719,52,citizen_birth,native_born,40,40149,7,40036,82,24,divorced,not_student,MALE,in_last_year,not_reported,English,0,0,0,0,0,1,0,321
720,65,citizen_birth,native_born,0,6620,67,91,88,6374,divorced,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,322
721,46,citizen_birth,native_born,0,147,7,50,23,67,married,not_student,female,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,323
722,43,citizen_birth,native_born,55,115305,51,115061,93,100,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,323
723,23,citizen_birth,native_born,50,17744,75,17505,92,72,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,323
727,22,citizen_birth,native_born,42,70241,63,70085,34,59,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,325
728,23,citizen_birth,native_born,0,132,7,38,36,51,married,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,325
730,19,citizen_birth,native_born,31,3647,76,3521,37,13,never_married,public_school,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,326
737,69,citizen_birth,native_born,0,19369,6,36,57,19270,divorced,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,330
738,40,citizen_birth,native_born,40,27251,94,27099,13,45,never_married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,331
741,56,citizen_birth,native_born,0,20029,14,60,87,19868,never_married,not_student,F,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,333
745,53,citizen_birth,native_born,60,100212,11,100075,86,40,never_married,not_student,FEMALE,in_last_year,worked,English,0,0,1,0,0,0,0,337
751,42,citizen_birth,native_born,60,110169,56,110070,22,21,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,340
752,37,citizen_birth,native_born,0,316,90,44,83,99,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,340
782,33,citizen_birth,native_born,40,54254,88,54070,38,58,divorced,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,351
784,47,citizen_birth,native_born,45,75172,5,75045,58,64,divorced,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,351
786,64,citizen_birth,native_born,40,42205,84,42001,39,81,never_married,not_student,male,in_last_year,worked,English,0,0,0,0,0,1,0,353
792,88,citizen_birth,native_born,0,82637,11,77,50086,32463,widowed,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,357
793,54,citizen_birth,native_born,60,70254,88,70037,100,29,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,358
794,53,citizen_birth,native_born,50,55120,28,55034,49,9,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,358
800,63,citizen_birth,native_born,38,43625,91,32080,21,11433,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,361
801,68,citizen_birth,native_born,50,17462,1222,100,43,16097,divorced,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,361
816,32,citizen_birth,native_born,70,50178,38,50002,64,74,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,370
817,32,citizen_birth,native_born,40,48069,40018,8011,30,10,married,not_student,FEMALE,in_last_year,worked,Cantonese,0,1,0,0,0,0,0,370
845,64,citizen_birth,native_born,40,26787,73,26361,44,309,divorced,not_student,F,in_last_year,did_not_work,English,0,0,0,0,0,1,0,381
853,77,citizen_birth,native_born,27,61385,83,33601,56,27645,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,385
854,76,citizen_birth,native_born,20,23512,13383,77,15,10037,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,385
861,43,citizen_birth,native_born,0,214,33,92,12,77,divorced,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,388
862,34,citizen_birth,native_born,45,26721,1,26571,74,75,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,388
863,67,citizen_birth,native_born,0,44018,85,6,52,43875,divorced,not_student,male,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,388
868,51,citizen_naturalized,foreign_born,60,35181,35018,88,4,71,married,not_student,FEMALE,in_last_year,did_not_work,Spanish,0,0,0,0,0,0,1,391
869,44,noncitizen,foreign_born,45,32670,32558,50,57,5,married,not_student,male,in_last_year,worked,Spanish,0,0,0,0,0,0,1,391
870,28,citizen_birth,native_born,40,36263,31,36040,94,98,never_married,private_school,M,in_last_year,worked,Spanish,0,0,0,0,0,0,1,391
882,26,citizen_birth,native_born,20,35186,74,35089,4,19,married,private_school,FEMALE,in_last_year,worked,English,0,1,0,0,0,1,0,396
883,30,citizen_birth,native_born,60,505297,51,505071,77,98,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,396
884,43,citizen_birth,native_born,40,42192,67,42032,56,37,married,not_student,male,in_last_year,worked,English,0,0,0,0,0,1,0,397
885,47,citizen_birth,native_born,50,48670,6513,42072,40,45,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,397
899,59,citizen_birth,native_born,32,65195,14,65079,83,19,divorced,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,402
900,28,citizen_birth,native_born,30,12166,38,12075,27,26,never_married,public_school,F,in_last_year,worked,English,0,0,0,0,0,1,0,402
901,56,citizen_birth,native_born,45,50125,6,50029,53,37,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,403
902,52,citizen_birth,native_born,40,25240,38,25099,57,46,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,403
903,30,citizen_birth,native_born,0,6196,77,14,99,6006,never_married,public_school,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,403
904,26,citizen_birth,native_born,0,146,65,23,50,8,never_married,public_school,MALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,403
905,55,citizen_birth,native_born,0,2933,79,15,91,2748,divorced,not_student,female,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,403
922,78,citizen_birth,native_born,0,1672,55,92,32,1493,widowed,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,411
937,46,citizen_birth,native_born,40,25180,92,25038,15,35,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,416
938,27,citizen_birth,native_born,40,5148,11,5100,6,31,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,416
940,69,citizen_birth,native_born,0,45126,34,60,2,45030,married,not_student,male,in_last_five_years,did_not_work,English,0,0,1,0,0,0,0,418
941,57,citizen_birth,native_born,40,21740,33,21643,20,44,married,not_student,FEMALE,in_last_year,worked,English,0,0,1,0,0,0,0,418
942,22,citizen_birth,native_born,0,166,24,17,59,66,never_married,not_student,M,over_five_years_ago,did_not_work,Spanish,0,0,1,0,0,0,0,418
953,30,citizen_birth,native_born,40,36242,34,36061,94,53,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,421
954,29,citizen_birth,native_born,40,120208,82,120007,33,86,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,421
967,55,noncitizen,foreign_born,40,27107,14,26937,79,77,married,not_student,M,in_last_year,not_reported,Spanish,0,0,0,0,0,0,1,426
968,56,noncitizen,foreign_born,52,35242,80,35072,90,0,married,not_student,F,in_last_year,not_reported,Spanish,0,0,0,0,0,0,1,426
969,33,noncitizen,foreign_born,25,10192,89,10035,27,41,never_married,not_student,MALE,in_last_year,not_reported,Spanish,0,0,0,0,0,0,1,426
970,29,noncitizen,foreign_born,0,199,97,17,13,72,never_married,not_student,MALE,over_five_years_ago,not_reported,Spanish,0,0,0,0,0,0,1,426
971,28,noncitizen,foreign_born,30,13805,31,13701,47,26,separated,not_student,FEMALE,in_last_year,not_reported,Spanish,0,0,0,0,0,0,1,426
978,75,noncitizen,foreign_born,0,17874,4,61,19,17790,widowed,not_student,female,over_five_years_ago,did_not_work,Spanish,0,0,0,0,0,1,0,429
979,28,citizen_birth,native_born,36,19217,99,19041,16,61,never_married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,430
985,57,citizen_birth,native_born,40,55268,97,55066,15,90,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,434
986,50,citizen_birth,native_born,12,24178,45,24053,36,44,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,434
993,67,citizen_birth,native_born,0,21157,62,19,68,21008,divorced,not_student,male,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,438
1019,68,citizen_birth,native_born,40,58231,58,26088,21,32064,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,448
1020,74,citizen_birth,native_born,0,30153,63,26,17,30047,married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,448
1021,76,citizen_birth,native_born,0,29170,66,25,26,29053,never_married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,448
1022,61,citizen_birth,native_born,40,23094,9,23004,70,11,divorced,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,448
1023,49,citizen_birth,native_born,42,66323,1,65011,1284,27,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,449
